date,gdp_monthly
2020-01-01,2111589.0
2020-02-01,2116017.0
2020-03-01,1956479.0
2020-04-01,1747938.0
2020-05-01,1828028.0
2020-06-01,1936321.0
2020-07-01,1986120.0
2020-08-01,2005910.0
2020-09-01,2024699.0
2020-10-01,2037348.0
2020-11-01,2051205.0
2020-12-01,2056758.0
2021-01-01,2068509.0
2021-02-01,2071653.0
2021-03-01,2093651.0
2021-04-01,2072052.0
2021-05-01,2067784.0
2021-06-01,2087291.0
2021-07-01,2101493.0
2021-08-01,2119124.0
2021-09-01,2129287.0
2021-10-01,2147254.0
2021-11-01,2157217.0
2021-12-01,2166129.0
2022-01-01,2160859.0
2022-02-01,2183889.0
2022-03-01,2196942.0
2022-04-01,2197345.0
2022-05-01,2202456.0
2022-06-01,2211634.0
2022-07-01,2214919.0
2022-08-01,2221513.0
2022-09-01,2226368.0
2022-10-01,2223909.0
2022-11-01,2221392.0
2022-12-01,2214902.0
2023-01-01,2236190.0
2023-02-01,2243830.0
2023-03-01,2250566.0
2023-04-01,2250710.0
2023-05-01,2251250.0
2023-06-01,2248378.0
2023-07-01,2250903.0
2023-08-01,2251926.0
2023-09-01,2251153.0
2023-10-01,2253540.0
2023-11-01,2259470.0
2023-12-01,2256668.0
2024-01-01,2262764.0
2024-02-01,2276470.0
2024-03-01,2277491.0
2024-04-01,2285643.0
2024-05-01,2289038.0
2024-06-01,2294051.0
2024-07-01,2298623.0
2024-08-01,2301315.0
2024-09-01,2307523.0
2024-10-01,2317073.0
2024-11-01,2312337.0
2024-12-01,2317000.0
2025-01-01,2329713.0
2025-02-01,2326072.0
2025-03-01,2330230.0
2025-04-01,2328390.0
2025-05-01,2324814.0
2025-06-01,2322727.0
2025-07-01,2338957.0
2025-08-01,2337688.0
2025-09-01,2342161.0
2025-10-01,2336171.0
2025-11-01,2338062.0
2025-12-01,2340690.0
2026-01-01,2340294.0
2026-02-01,2344080.0
2026-03-01,2340472.0
2026-04-01,2355245.0
2026-05-01,2363056.0
2026-06-01,2369309.0
